,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
20,0.5513450860977173,0.04160244386773813,0.007477879524230957,0.0032858731407917926,0.01,5,100,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",-2.669307479861974,-3.0748217708828145,-1.4726245046380155,-2.215364738047564,-2.5923000771473217,-2.2334046317211076,-3.573297865073269,-2.1208883100908986,-3.972034021622425,-4.269336938947282,-2.819338033803267,0.8454914945204757,84
21,0.9604722261428833,0.0270569001065077,0.00867464542388916,0.0020436294120603684,0.01,5,200,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}",0.20655414620419077,-0.01717916474767578,0.3957179059208661,0.0876395879657823,0.27573559515487955,0.3343083909662896,0.10931094294742072,0.3972290358773951,0.14697976704488314,-0.696963549420635,0.12393326579133965,0.30307289598433435,73
22,2.364401435852051,0.07576000554503828,0.02120351791381836,0.005465355697978674,0.01,5,500,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500}",0.47367037509692483,0.5144530829021281,0.5198220334999157,0.6502057052504908,0.695800284043463,0.7737382449808246,0.8081656704883503,0.7409142904830096,0.7025990629019787,0.41313549591055854,0.6292504245557644,0.131022158949905,18
23,4.064767837524414,0.45835448423481423,0.0296480655670166,0.0064875951259495005,0.01,5,1000,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 1000}",0.4772148584505466,0.5756722216014847,0.5102016226172144,0.6791075247607865,0.7168544100635638,0.805049949738743,0.8386694022119248,0.7725693214251307,0.7388810608129076,0.49912640402532615,0.6613346775707629,0.12817077467982482,6
24,4.143866729736328,0.5065311827025353,0.03340811729431152,0.008604156226944732,0.01,5,2000,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 2000}",0.47725407609360915,0.5809610233601789,0.5102016226172144,0.6791075247607865,0.7168544100635638,0.805049949738743,0.8386694022119248,0.7725693214251307,0.7388810608129076,0.49912640402532615,0.6618674795109386,0.12782099358751411,5
25,0.638078260421753,0.029812212630411988,0.006459498405456543,0.0019587905264440895,0.01,10,100,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100}",-2.7311097933875894,-3.1160050004378523,-1.4394583089869446,-2.225018214517556,-2.599748844912466,-2.2708537175797465,-3.6247287571935316,-2.121231317306494,-3.7327286004422793,-4.254346409614648,-2.8115228964379106,0.8204304893267585,83
26,1.379697322845459,0.031118207015283776,0.012892961502075195,0.005488468656668029,0.01,10,200,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 200}",0.026705938379634087,-0.0374106212459866,0.4584301394529605,0.057676795894317734,0.2655769164120142,0.3938603753611526,0.07388055225860923,0.4257525498480532,0.16714944131469367,-0.6558873637514664,0.11757347239239824,0.30787500488697417,76
27,4.299790096282959,0.02680097264750224,0.027660107612609862,0.0032627124585424467,0.01,10,500,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 500}",0.35637464113162076,0.34852210194791433,0.49188088041855077,0.6164929108150771,0.7325151887472441,0.807728592050547,0.7887015576752752,0.7915186076994023,0.6341958877507973,0.4007936495034512,0.5968724017739879,0.17558758985118,35
28,8.238023924827576,0.8553630056504128,0.06798152923583985,0.015058511054990108,0.01,10,1000,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 1000}",0.3363516580280004,0.32151671598317344,0.46965329298158676,0.645943189819127,0.7445319066811937,0.8168778665497419,0.8232312305173721,0.7881328904062297,0.6275041252289733,0.4386712749770668,0.6012414151172465,0.1860333570919086,25
29,9.05839684009552,1.305763579421483,0.07027122974395753,0.016955400143988872,0.01,10,2000,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 2000}",0.33755649518940856,0.32151671598317344,0.46965329298158676,0.646590761407568,0.7447045650946055,0.8188889613238007,0.8251758993108558,0.7881946369927044,0.6275041252289733,0.4386712749770668,0.6018456728489744,0.18636337104820946,24
